Order ID,Customer ID,Product ID,Order Date,Year,Month Name,Week No,Fiscal Quarter,Country,State,City,Region,Market,Category,Sub Category,Product Name,Sales,Profit,Quantity,Discount,Shipping Cost,Delivery Date,Delivery Days,Customer Name ,Customer Gender,Customer Age,Segment,Ship Mode,Order Priority,Salesperson,Return Status,Payment Mode
ORD00012,CUST9342,PROD265,15-05-2025,2024,June,26,Q2,India,Gujarat,Ahmedabad,North,India,Fashion,Fashion Sub,T-Shirt,6910,745.06,1,0.08,264.05,22-05-2025,7,Manish Malhotra,Female,52,Consumer,Second Class,Medium,Anjali Gupta,Not Returned,UPI
ORD00013,CUST3898,PROD431,16-05-2025,2025,September,36,Q3,India,Maharashtra,Pune,North,India,Groceries,Groceries Sub,Dry Fruits,6847,591.98,8,0.1,265.14,20-05-2025,4,Muhammad Das,Female,49,Corporate,Second Class,Medium,Anjali Gupta,Not Returned,Net Banking
ORD00014,CUST2120,PROD477,17-05-2025,2025,August,33,Q3,India,Uttar Pradesh,Lucknow,North,India,Groceries,Groceries Sub,Dry Fruits,4357,482.46,2,0.11,268.96,22-05-2025,5,Aarav Patel,Female,47,Consumer,Same Day,High,Priya Kapoor,Not Returned,Debit Card
ORD00015,CUST7255,PROD777,18-05-2025,2024,January,1,Q1,India,West Bengal,Kolkata,West,India,Electronics,Electronics Sub,Headphones,4002,333.14,3,0.29,249.02,19-05-2025,1,Riya Menon,Female,50,Corporate,First Class,High,Rohan Mehta,Not Returned,Credit Card
ORD00016,CUST5665,PROD252,19-05-2025,2024,May,21,Q2,India,Asam,Jaipur,South,India,Books,Books Sub,Analytics Book,5152,438.84,5,0.24,185.97,23-05-2025,4,Sneha Mehta,Male,26,Consumer,Second Class,Critical,Sandeep Yadav,Not Returned,UPI
ORD00017,CUST4586,PROD148,20-05-2025,2025,June,23,Q2,India,Karnataka,Bengaluru,North,India,Technology,Technology Sub,SSD,3567,813.23,2,0.08,201.51,26-05-2025,6,Suresh Singh,Female,42,Corporate,Standard Class,Critical,Amit Sharma,Not Returned,COD
ORD00018,CUST6116,PROD231,21-05-2025,2024,December,52,Q4,India,Asam,Jaipur,West,India,Furniture,Furniture Sub,Leptop,6056,1307.6,6,0.27,421.77,24-05-2025,3,Vivaan Menon,Male,55,Corporate,Second Class,High,Anjali Gupta,Not Returned,UPI
ORD00019,CUST7184,PROD451,22-05-2025,2025,February,6,Q1,India,Uttar Pradesh,Varanasi,West,India,Technology,Technology Sub,Keyboard,6534,1606.13,4,0.24,312.44,23-05-2025,1,Kavya Malhotra,Male,28,Home Office,Standard Class,Medium,Anjali Gupta,Not Returned,Credit Card
ORD00020,CUST3214,PROD242,23-05-2025,2024,May,18,Q2,India,Uttar Pradesh,Lucknow,South,India,Furniture,Furniture Sub,Smart Phones,5231,1029.99,2,0.21,238.94,26-05-2025,3,Reyansh Banerjee,Male,27,Consumer,Standard Class,High,Rakesh Singh,Not Returned,UPI
ORD00021,CUST6946,PROD694,24-05-2025,2024,March,11,Q1,India,Uttar Pradesh,Chennai,South,India,Furniture,Furniture Sub,Leptop,3553,592.97,6,0,169.27,27-05-2025,3,Neha Tripathi,Female,27,Consumer,First Class,Medium,Anjali Gupta,Not Returned,COD
ORD00022,CUST1449,PROD493,25-05-2025,2024,May,18,Q2,India,Uttar Pradesh,Lucknow,South,India,Electronics,Electronics Sub,Speaker,4483,496.96,5,0.07,274.33,29-05-2025,4,Vivaan Chatterjee,Female,20,Home Office,Second Class,Low,Rohan Mehta,Not Returned,Credit Card
ORD00023,CUST5122,PROD616,26-05-2025,2025,October,42,Q4,India,Uttar Pradesh,Chennai,East,India,Technology,Technology Sub,Keyboard,6936,1720.79,6,0.01,234.94,30-05-2025,4,Shreya Menon,Female,62,Home Office,Same Day,Critical,Rohan Mehta,Not Returned,Debit Card
ORD00024,CUST7836,PROD512,27-05-2025,2024,January,2,Q1,India,Uttar Pradesh,Varanasi,North,India,Office Supplies,Office Supplies Sub,Pen Set,6354,1131.66,4,0.13,219.71,03-06-2025,7,Diya Yadav,Male,50,Consumer,First Class,Medium,Sandeep Yadav,Not Returned,Net Banking
ORD00025,CUST4970,PROD115,28-05-2025,2024,November,45,Q4,India,Karnataka,Bengaluru,South,India,Technology,Technology Sub,SSD,6047,1628.41,3,0.24,211.98,31-05-2025,3,Riya Verma,Female,48,Corporate,Same Day,High,Priya Kapoor,Not Returned,Credit Card
ORD00026,CUST6845,PROD381,29-05-2025,2025,December,51,Q4,India,Uttar Pradesh,Chennai,East,India,Beauty,Beauty Sub,Face Wash,4473,503.61,2,0.15,289.38,02-06-2025,4,Rahul Soni,Male,46,Corporate,Second Class,High,Anjali Gupta,Not Returned,UPI
ORD00027,CUST3348,PROD122,30-05-2025,2024,December,50,Q4,India,Uttar Pradesh,Varanasi,South,India,Beauty,Beauty Sub,Face Wash,6349,562.84,7,0.28,343.71,31-05-2025,1,Navya Chatterjee,Male,24,Consumer,Same Day,Critical,Sandeep Yadav,Not Returned,COD
ORD00028,CUST5653,PROD197,31-05-2025,2025,January,4,Q1,India,Uttar Pradesh,Lucknow,East,India,Technology,Technology Sub,Monitor,6844,1778.19,2,0.18,489.13,06-06-2025,6,Myra Yadav,Female,20,Corporate,Second Class,High,Rakesh Singh,Not Returned,UPI
ORD00029,CUST6785,PROD532,01-06-2025,2024,January,3,Q1,India,West Bengal,Kolkata,East,India,Beauty,Beauty Sub,Face Wash,5257,714.37,8,0.1,211.02,05-06-2025,4,Rahul Malhotra,Male,37,Consumer,Same Day,Low,Rakesh Singh,Not Returned,Net Banking
ORD00030,CUST6906,PROD208,02-06-2025,2024,December,50,Q4,India,Gujarat,Ahmedabad,East,India,Toys,Toys Sub,Puzzle Set,3945,374.09,4,0.29,176.53,05-06-2025,3,Neha Mishra,Female,49,Consumer,Second Class,High,Rohan Mehta,Not Returned,COD
ORD00031,CUST8059,PROD993,03-06-2025,2024,March,13,Q1,India,Uttar Pradesh,Lucknow,East,India,Fashion,Fashion Sub,Shoes,6391,669.4,4,0.26,388.76,10-06-2025,7,Krishna Rathore,Male,62,Consumer,Standard Class,Medium,Rohan Mehta,Not Returned,Credit Card
ORD00032,CUST3722,PROD492,04-06-2025,2025,September,37,Q3,India,Gujarat,Ahmedabad,North,India,Electronics,Electronics Sub,Speaker,6036,830.43,6,0.28,298.27,07-06-2025,3,Krishna Arora,Male,62,Consumer,Standard Class,High,Pankaj Kumar,Not Returned,Net Banking
ORD00033,CUST5423,PROD862,05-06-2025,2025,January,5,Q1,India,Asam,Jaipur,East,India,Furniture,Furniture Sub,Leptop,5985,1307.8,1,0.14,418.51,08-06-2025,3,Meera Pillai,Male,36,Consumer,Second Class,Low,Rakesh Singh,Not Returned,Net Banking
ORD00034,CUST6950,PROD829,06-06-2025,2025,May,22,Q2,India,Asam,Jaipur,West,India,Furniture,Furniture Sub,Smart Phones,3523,585.27,7,0.25,160.51,09-06-2025,3,Kavya Singh,Female,18,Consumer,Same Day,High,Anjali Gupta,Not Returned,Debit Card
ORD00035,CUST7677,PROD608,07-06-2025,2025,September,39,Q3,India,Maharashtra,Pune,East,India,Fashion,Fashion Sub,T-Shirt,5460,759.71,4,0.21,368.7,12-06-2025,5,Krishna Chopra,Male,49,Home Office,First Class,Low,Vivek Verma,Not Returned,COD
ORD00036,CUST7515,PROD602,08-06-2025,2025,December,49,Q4,India,West Bengal,Kolkata,East,India,Toys,Toys Sub,Puzzle Set,4978,661.79,6,0.16,339.32,12-06-2025,4,Navya Malhotra,Female,36,Consumer,Second Class,Medium,Amit Sharma,Returned,Debit Card
ORD00037,CUST7092,PROD497,09-06-2025,2025,January,4,Q1,India,Asam,Jaipur,North,India,Beauty,Beauty Sub,Face Wash,5800,761.12,8,0.05,311.57,12-06-2025,3,Sneha Reddy,Male,65,Consumer,First Class,Low,Amit Sharma,Not Returned,Credit Card
ORD00038,CUST2317,PROD265,10-06-2025,2024,April,17,Q2,India,Uttar Pradesh,Lucknow,South,India,Technology,Technology Sub,Monitor,6104,1360.05,3,0.1,418.77,15-06-2025,5,Ira Pillai,Female,29,Corporate,Same Day,High,Rohan Mehta,Returned,COD
ORD00039,CUST9709,PROD115,11-06-2025,2024,March,10,Q1,India,Uttar Pradesh,Chennai,North,India,Technology,Technology Sub,Laptop,6949,1657.5,5,0.09,252.61,12-06-2025,1,Pankaj Dubey,Male,40,Home Office,First Class,Low,Sandeep Yadav,Not Returned,Debit Card
ORD00040,CUST8363,PROD511,12-06-2025,2025,June,26,Q2,India,West Bengal,Kolkata,East,India,Office Supplies,Office Supplies Sub,Pen Set,4879,794.78,6,0.1,324.95,18-06-2025,6,Neha Rao,Female,52,Consumer,First Class,Critical,Vivek Verma,Not Returned,Net Banking
ORD00041,CUST2203,PROD994,13-06-2025,2025,December,52,Q4,India,West Bengal,Kolkata,South,India,Beauty,Beauty Sub,Face Wash,5404,667.43,1,0.08,193.67,15-06-2025,2,Diya Khanna,Male,52,Corporate,Same Day,Medium,Sandeep Yadav,Not Returned,Net Banking
ORD00042,CUST2668,PROD434,14-06-2025,2025,October,43,Q4,India,Karnataka,Bengaluru,East,India,Electronics,Electronics Sub,Headphones,6974,585.62,7,0.09,299.43,20-06-2025,6,Deepak Pillai,Female,19,Corporate,First Class,Low,Anjali Gupta,Not Returned,Credit Card
ORD00043,CUST4907,PROD876,15-06-2025,2024,November,47,Q4,India,Karnataka,Bengaluru,North,India,Technology,Technology Sub,Keyboard,6562,1765.41,7,0.04,205.72,21-06-2025,6,Pankaj Kumar,Female,59,Corporate,Standard Class,Medium,Priya Kapoor,Not Returned,COD
ORD00044,CUST7808,PROD109,16-06-2025,2025,August,31,Q3,India,Uttar Pradesh,Prayagraj,South,India,Technology,Technology Sub,Monitor,3751,900.87,6,0.06,260.12,17-06-2025,1,Priya Mehta,Male,38,Consumer,Second Class,Critical,Pankaj Kumar,Not Returned,Debit Card
ORD00045,CUST1837,PROD679,17-06-2025,2025,July,28,Q3,India,West Bengal,Kolkata,West,India,Office Supplies,Office Supplies Sub,Printer Paper,4121,759.18,4,0.16,133.38,21-06-2025,4,Mahesh Mukherjee,Male,31,Corporate,First Class,Low,Amit Sharma,Not Returned,UPI
ORD00046,CUST9092,PROD951,18-06-2025,2024,October,41,Q4,India,Gujarat,Ahmedabad,West,India,Beauty,Beauty Sub,Face Wash,5955,806.73,6,0,372.74,19-06-2025,1,Siya Bansal,Female,38,Consumer,Second Class,Critical,Pankaj Kumar,Not Returned,Net Banking
ORD00047,CUST6065,PROD299,19-06-2025,2024,August,33,Q3,India,Karnataka,Bengaluru,West,India,Sports,Sports Sub,Cricket Bat,6387,893.63,6,0.02,474.3,22-06-2025,3,Deepak Mehta,Female,65,Consumer,Second Class,Critical,Amit Sharma,Not Returned,COD
ORD00048,CUST4165,PROD516,20-06-2025,2025,October,44,Q4,India,Uttar Pradesh,Chennai,West,India,Furniture,Furniture Sub,Leptop,3786,832.22,2,0.21,267.91,22-06-2025,2,Kavya Mishra,Male,41,Consumer,Second Class,Medium,Pankaj Kumar,Not Returned,Debit Card
ORD00049,CUST1570,PROD501,21-06-2025,2024,June,25,Q2,India,Karnataka,Bengaluru,North,India,Electronics,Electronics Sub,Speaker,5107,647.01,7,0.1,347.5,23-06-2025,2,Mahesh Kumar,Female,61,Corporate,Second Class,Medium,Sandeep Yadav,Not Returned,UPI
ORD00050,CUST7310,PROD391,22-06-2025,2025,September,38,Q3,India,West Bengal,Kolkata,West,India,Technology,Technology Sub,SSD,5094,1216.21,2,0.13,168.2,28-06-2025,6,Neha Mehta,Female,20,Corporate,Same Day,Critical,Amit Sharma,Not Returned,Debit Card
ORD00051,CUST1960,PROD245,23-06-2025,2025,March,11,Q1,India,Uttar Pradesh,Chennai,West,India,Furniture,Furniture Sub,Smart Phones,6815,1274.5,6,0.13,234.24,29-06-2025,6,Aarti Rao,Male,25,Home Office,First Class,Medium,Priya Kapoor,Not Returned,UPI
ORD00052,CUST9124,PROD668,24-06-2025,2025,November,45,Q4,India,Karnataka,Bengaluru,West,India,Office Supplies,Office Supplies Sub,Printer Paper,6181,1026.27,5,0.05,248.89,29-06-2025,5,Krishna Gupta,Male,43,Consumer,Same Day,Critical,Pankaj Kumar,Not Returned,Debit Card
ORD00053,CUST2129,PROD463,25-06-2025,2025,October,44,Q4,India,West Bengal,Kolkata,South,India,Books,Books Sub,Analytics Book,5009,620.48,1,0.18,397.5,28-06-2025,3,Muhammad Bansal,Male,42,Corporate,First Class,Critical,Rohan Mehta,Not Returned,Credit Card
ORD00054,CUST6094,PROD633,26-06-2025,2024,January,1,Q1,India,Maharashtra,Pune,North,India,Electronics,Electronics Sub,Headphones,6101,690.6,6,0.17,359.04,28-06-2025,2,Riya Rathore,Female,26,Consumer,First Class,Medium,Pankaj Kumar,Not Returned,Debit Card
ORD00055,CUST5808,PROD555,27-06-2025,2024,April,17,Q2,India,West Bengal,Kolkata,North,India,Books,Books Sub,Analytics Book,3571,426.04,1,0,212.56,29-06-2025,2,Vihaan Chatterjee,Male,28,Corporate,First Class,Low,Rakesh Singh,Not Returned,Credit Card
ORD00056,CUST7452,PROD595,28-06-2025,2024,April,15,Q2,India,Gujarat,Ahmedabad,South,India,Technology,Technology Sub,Laptop,4775,1207.67,2,0.21,192.26,02-07-2025,4,Myra Bansal,Female,62,Corporate,Standard Class,Critical,Rohan Mehta,Not Returned,Debit Card
ORD00057,CUST7791,PROD856,29-06-2025,2025,July,30,Q3,India,Gujarat,Ahmedabad,North,India,Fashion,Fashion Sub,Shoes,6279,603.17,7,0.01,448.79,04-07-2025,5,Nitin Singh,Male,23,Consumer,First Class,Medium,Pankaj Kumar,Not Returned,Credit Card
ORD00058,CUST1117,PROD775,30-06-2025,2024,July,28,Q3,India,Karnataka,Bengaluru,South,India,Technology,Technology Sub,Monitor,3996,1004.23,6,0.13,188.51,07-07-2025,7,Shreya Malhotra,Female,58,Consumer,Same Day,Critical,Amit Sharma,Not Returned,Credit Card
ORD00059,CUST8010,PROD733,01-07-2025,2025,April,14,Q2,India,West Bengal,Kolkata,South,India,Appliances,Appliances Sub,Air Purifier,5759,479.27,4,0.04,333.42,04-07-2025,3,Siya Desai,Female,57,Corporate,Same Day,Medium,Pankaj Kumar,Returned,UPI
ORD00060,CUST4999,PROD770,02-07-2025,2025,October,43,Q4,India,Asam,Jaipur,North,India,Technology,Technology Sub,Mouse,6507,1610.41,5,0.27,463.25,04-07-2025,2,Meera Desai,Male,41,Consumer,Same Day,Critical,Anjali Gupta,Not Returned,COD
ORD00061,CUST6253,PROD751,03-07-2025,2025,March,13,Q1,India,Asam,Jaipur,East,India,Technology,Technology Sub,Monitor,4595,1045.66,5,0.25,215.75,10-07-2025,7,Rohit Arora,Male,64,Consumer,Same Day,Low,Sandeep Yadav,Not Returned,UPI
ORD00062,CUST5799,PROD691,04-07-2025,2024,October,43,Q4,India,Uttar Pradesh,Chennai,South,India,Office Supplies,Office Supplies Sub,Pen Set,4153,726.85,6,0.2,232.9,11-07-2025,7,Siya Banerjee,Female,42,Consumer,Standard Class,Low,Anjali Gupta,Not Returned,UPI
ORD00063,CUST9565,PROD117,05-07-2025,2025,July,28,Q3,India,Gujarat,Ahmedabad,West,India,Furniture,Furniture Sub,Smart Phones,6500,1324.69,2,0.11,449.47,06-07-2025,1,Shreya Patel,Male,27,Consumer,Same Day,High,Pankaj Kumar,Not Returned,Debit Card
ORD00064,CUST4089,PROD987,06-07-2025,2024,April,16,Q2,India,Uttar Pradesh,Prayagraj,South,India,Electronics,Electronics Sub,Headphones,6827,804.89,5,0,532.93,09-07-2025,3,Sneha Tripathi,Male,65,Consumer,Standard Class,Critical,Sandeep Yadav,Not Returned,COD
ORD00065,CUST7130,PROD723,07-07-2025,2025,May,20,Q2,India,Asam,Jaipur,North,India,Beauty,Beauty Sub,Face Wash,3791,465,3,0.12,129.93,12-07-2025,5,Sneha Chopra,Female,58,Home Office,Standard Class,High,Vivek Verma,Not Returned,UPI
ORD00066,CUST5510,PROD131,08-07-2025,2025,May,20,Q2,India,Karnataka,Bengaluru,West,India,Office Supplies,Office Supplies Sub,Notebook,6775,1260.36,3,0.11,485.67,15-07-2025,7,Reyansh Pandey,Male,43,Consumer,First Class,Low,Rakesh Singh,Not Returned,UPI
ORD00067,CUST4953,PROD198,09-07-2025,2025,May,21,Q2,India,Uttar Pradesh,Chennai,West,India,Toys,Toys Sub,Puzzle Set,3846,455.62,6,0.12,277.85,14-07-2025,5,Rohit Ghosh,Female,51,Consumer,Second Class,Low,Vivek Verma,Returned,Debit Card
ORD00068,CUST3609,PROD786,10-07-2025,2025,January,2,Q1,India,Asam,Jaipur,South,India,Office Supplies,Office Supplies Sub,Printer Paper,3550,612.14,4,0.08,127.69,13-07-2025,3,Sai Nair,Female,62,Consumer,Standard Class,High,Vivek Verma,Not Returned,Debit Card
ORD00069,CUST8263,PROD167,11-07-2025,2024,October,40,Q4,India,Uttar Pradesh,Chennai,West,India,Furniture,Furniture Sub,Leptop,5968,1265.52,5,0.09,386.78,13-07-2025,2,Riya Saxena,Female,33,Consumer,First Class,High,Priya Kapoor,Not Returned,UPI
ORD00070,CUST3832,PROD754,12-07-2025,2024,December,50,Q4,India,Asam,Jaipur,West,India,Furniture,Furniture Sub,Leptop,4970,829.47,5,0.2,376.3,14-07-2025,2,Aadhya Mehta,Female,65,Home Office,First Class,Low,Anjali Gupta,Not Returned,UPI
ORD00071,CUST1596,PROD278,13-07-2025,2024,June,23,Q2,India,West Bengal,Kolkata,South,India,Office Supplies,Office Supplies Sub,Printer Paper,4800,828.22,8,0.09,210.12,18-07-2025,5,Myra Kumar,Male,52,Home Office,Standard Class,Critical,Pankaj Kumar,Not Returned,UPI
ORD00072,CUST8777,PROD304,14-07-2025,2025,December,1,Q4,India,Uttar Pradesh,Prayagraj,South,India,Office Supplies,Office Supplies Sub,Notebook,3829,654.27,6,0.26,240.52,17-07-2025,3,Nitin Ghosh,Male,27,Corporate,Same Day,Medium,Pankaj Kumar,Not Returned,Credit Card
ORD00073,CUST9421,PROD141,15-07-2025,2025,May,18,Q2,India,Karnataka,Bengaluru,North,India,Technology,Technology Sub,SSD,5017,1313.93,2,0.23,172.8,20-07-2025,5,Amit Singh,Male,50,Consumer,First Class,Low,Rakesh Singh,Not Returned,Net Banking
ORD00074,CUST5985,PROD572,16-07-2025,2024,April,17,Q2,India,Karnataka,Bengaluru,West,India,Furniture,Furniture Sub,Smart Phones,6468,1395.02,4,0.15,399.9,18-07-2025,2,Jyoti Gupta,Female,56,Consumer,Second Class,Low,Priya Kapoor,Not Returned,COD
ORD00075,CUST9185,PROD288,17-07-2025,2024,April,17,Q2,India,Gujarat,Ahmedabad,East,India,Books,Books Sub,Analytics Book,6818,875.98,3,0.17,415.93,18-07-2025,1,Rahul Saxena,Male,33,Home Office,Second Class,High,Pankaj Kumar,Not Returned,Credit Card
ORD00076,CUST1582,PROD634,18-07-2025,2024,June,23,Q2,India,Uttar Pradesh,Chennai,North,India,Technology,Technology Sub,Monitor,5801,1433.34,8,0.29,462.53,23-07-2025,5,Jyoti Mukherjee,Male,33,Consumer,Second Class,Medium,Rakesh Singh,Not Returned,Credit Card
ORD00077,CUST5437,PROD461,19-07-2025,2024,December,49,Q4,India,Maharashtra,Pune,North,India,Office Supplies,Office Supplies Sub,Notebook,3645,658.92,7,0.12,241.42,21-07-2025,2,Karan Bansal,Male,56,Corporate,Same Day,Medium,Priya Kapoor,Not Returned,Debit Card
ORD00078,CUST4071,PROD400,20-07-2025,2024,September,37,Q3,India,Uttar Pradesh,Varanasi,East,India,Books,Books Sub,Analytics Book,6069,598.62,2,0.3,204.33,21-07-2025,1,Amit Nair,Female,53,Corporate,Second Class,Low,Rakesh Singh,Not Returned,COD
ORD00079,CUST2550,PROD213,21-07-2025,2025,January,2,Q1,India,Uttar Pradesh,Chennai,West,India,Books,Books Sub,Analytics Book,6074,662.49,3,0.29,482.96,23-07-2025,2,Muhammad Iyer,Female,59,Corporate,Same Day,Medium,Rakesh Singh,Not Returned,COD
ORD00080,CUST1246,PROD888,22-07-2025,2025,June,24,Q2,India,Delhi,New Delhi,North,India,Technology,Technology Sub,Monitor,5600,1502.22,7,0.2,316.21,29-07-2025,7,Anika Banerjee,Male,54,Consumer,Standard Class,Low,Rakesh Singh,Returned,Credit Card
ORD00081,CUST5190,PROD960,23-07-2025,2024,April,15,Q2,India,West Bengal,Kolkata,West,India,Technology,Technology Sub,Mouse,5512,1433.58,1,0.02,367.43,30-07-2025,7,Nisha Mehta,Male,20,Consumer,Second Class,Medium,Rohan Mehta,Not Returned,Credit Card
ORD00082,CUST3263,PROD324,24-07-2025,2025,June,24,Q2,India,Karnataka,Bengaluru,South,India,Technology,Technology Sub,Laptop,6728,1716.24,3,0.12,489.01,26-07-2025,2,Krishna Bansal,Male,62,Consumer,Same Day,High,Pankaj Kumar,Not Returned,Credit Card
ORD00083,CUST4875,PROD602,25-07-2025,2024,September,39,Q3,India,Gujarat,Ahmedabad,South,India,Furniture,Furniture Sub,Leptop,3980,845.7,6,0.27,291.26,27-07-2025,2,Muhammad Mukherjee,Male,34,Consumer,First Class,Critical,Priya Kapoor,Not Returned,Net Banking
ORD00084,CUST5691,PROD304,26-07-2025,2024,October,40,Q4,India,Gujarat,Ahmedabad,North,India,Technology,Technology Sub,Keyboard,6580,1714.45,1,0.28,521.59,31-07-2025,5,Pooja Ghosh,Female,25,Consumer,Same Day,Medium,Pankaj Kumar,Not Returned,UPI
ORD00085,CUST5327,PROD492,27-07-2025,2025,March,12,Q1,India,Gujarat,Ahmedabad,South,India,Furniture,Furniture Sub,Leptop,5471,937.53,2,0.01,251.36,28-07-2025,1,Swati Kapoor,Male,65,Consumer,Second Class,Low,Rohan Mehta,Returned,COD
ORD00086,CUST3124,PROD531,28-07-2025,2025,November,45,Q4,India,Karnataka,Bengaluru,North,India,Technology,Technology Sub,Laptop,4498,1207.38,8,0.11,239.15,02-08-2025,5,Neha Chopra,Female,59,Corporate,Same Day,Low,Priya Kapoor,Returned,Credit Card
ORD00087,CUST5392,PROD439,29-07-2025,2024,June,23,Q2,India,Maharashtra,Mumbai,East,India,Electronics,Electronics Sub,Headphones,4899,602.26,4,0.03,326.91,03-08-2025,5,Sneha Sharma,Male,18,Home Office,Second Class,High,Rohan Mehta,Not Returned,Debit Card
ORD00088,CUST3549,PROD215,30-07-2025,2024,March,11,Q1,India,Gujarat,Ahmedabad,East,India,Technology,Technology Sub,Keyboard,4256,1132.33,3,0.16,212.14,04-08-2025,5,Pankaj Arora,Female,61,Corporate,Second Class,Low,Sandeep Yadav,Not Returned,Net Banking
ORD00089,CUST6546,PROD461,31-07-2025,2024,March,13,Q1,India,Uttar Pradesh,Lucknow,North,India,Groceries,Groceries Sub,Dry Fruits,4432,365.34,6,0.21,288.04,04-08-2025,4,Muhammad Khanna,Male,43,Consumer,Second Class,Critical,Rohan Mehta,Not Returned,Credit Card
ORD00090,CUST7985,PROD787,01-08-2025,2025,August,33,Q3,India,Uttar Pradesh,Chennai,North,India,Sports,Sports Sub,Cricket Bat,4588,427.92,6,0.17,343.93,07-08-2025,6,Navya Bansal,Female,36,Corporate,First Class,Medium,Amit Sharma,Not Returned,Credit Card
ORD00091,CUST9553,PROD709,02-08-2025,2025,January,4,Q1,India,Uttar Pradesh,Varanasi,South,India,Technology,Technology Sub,Laptop,5345,1440.63,4,0.02,360.67,04-08-2025,2,Priya Chopra,Female,30,Consumer,Same Day,Low,Priya Kapoor,Not Returned,UPI
ORD00092,CUST7361,PROD404,03-08-2025,2025,November,47,Q4,India,Uttar Pradesh,Lucknow,East,India,Office Supplies,Office Supplies Sub,Pen Set,5549,1106.76,2,0.03,180.87,06-08-2025,3,Nitin Bansal,Male,46,Home Office,Standard Class,Low,Sandeep Yadav,Not Returned,UPI
ORD00093,CUST8442,PROD598,04-08-2025,2024,September,39,Q3,India,Uttar Pradesh,Prayagraj,South,India,Furniture,Furniture Sub,Leptop,4091,691.92,7,0.13,241.25,11-08-2025,7,Priya Yadav,Male,58,Consumer,Second Class,Medium,Priya Kapoor,Not Returned,UPI
